OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2021-02-06T18:32:33.506592,2.00562371,.0047273,55.4664,175.0090,57.6323,302.7876,0,U,24876,999,17271,0,.19E-6,0
GPS BIIR-4  (PRN 20),2000-025A,2021-02-06T19:39:13.150080,2.00563369,.0058084,53.6796,99.4209,165.3767,209.7166,0,U,26360,999,15203,0,-.48E-6,0
GPS BIIR-5  (PRN 28),2000-040A,2021-02-06T20:44:51.004608,2.00564309,.0182067,55.8179,292.9099,282.3650,86.5871,0,U,26407,999,15071,0,-.14E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2021-02-06T10:01:02.986752,2.00566990,.0120001,55.8709,292.7221,36.3344,135.2221,0,U,27663,999,13206,0,-.16E-6,0
GPS BIIR-9  (PRN 21),2003-010A,2021-02-06T14:16:14.843136,2.00557709,.0244322,54.7808,43.4450,291.2396,222.5173,0,U,27704,999,13086,0,-.51E-6,0
GPS BIIR-10 (PRN 22),2003-058A,2021-02-06T11:10:52.965120,2.00570343,.0071436,53.4894,102.1064,299.4188,59.9217,0,U,28129,999,12554,0,-.48E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2021-02-05T17:02:42.563904,2.00570470,.008781,56.2275,353.5956,102.0513,73.2824,0,U,28190,999,12368,0,-.83E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2021-02-06T19:45:56.918016,2.00571199,.0205808,55.1188,43.3911,271.1481,264.0244,0,U,28474,999,11919,0,-.5E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2021-02-06T16:26:09.097728,2.00579145,.013778,56.3172,350.9631,269.3696,270.4544,0,U,28874,999,11259,0,-.9E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2021-02-06T13:26:44.952864,2.00556047,.009934,54.8005,229.0250,12.6465,357.6571,0,U,29486,999,10518,0,.95E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2021-02-05T23:45:02.926080,2.00576940,.008095,55.8652,291.6618,66.8796,294.0259,0,U,29601,999,10415,0,-.15E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2021-02-05T19:24:40.816800,2.00575909,.0128666,53.2149,161.1233,54.7692,306.4002,0,U,32260,999,9759,0,.7E-7,0
GPS BIIRM-5 (PRN 29),2007-062A,2021-02-06T06:24:20.427840,2.00562313,.0013006,56.4204,351.6807,129.6450,333.2961,0,U,32384,999,9626,0,-.87E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2021-02-06T05:08:08.965824,2.00571086,.0145614,54.5514,228.0875,225.7628,133.0535,0,U,32711,999,9452,0,.96E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2021-02-06T06:49:29.115264,2.00547201,.0058074,54.7240,105.5629,49.2565,23.0964,0,U,35752,999,8411,0,-.46E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2021-02-06T06:52:00.753312,2.00563678,.0095872,55.1386,287.5187,53.0315,128.0983,0,U,36585,999,7834,0,-.4E-7,0
GPS BIIF-2  (PRN 01),2011-036A,2021-02-06T21:53:33.024192,2.00562082,.0101785,56.3343,48.0595,45.9940,314.8862,0,U,37753,999,7003,0,-.43E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2021-02-06T09:27:23.118912,2.00569625,.0107494,53.5979,223.7009,40.7799,320.0336,0,U,38833,999,6030,0,.92E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2021-02-06T06:13:08.654880,2.00563457,.0088961,55.9672,347.5417,31.5852,328.9419,0,U,39166,999,5663,0,-.89E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2021-02-06T18:10:02.698752,2.00554060,.0049,53.7057,229.1439,199.3413,160.4944,0,U,39533,999,5046,0,.9E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2021-02-06T00:53:20.244768,2.00560438,.0025046,56.3045,47.6210,295.1683,64.6113,0,U,39741,999,4928,0,-.43E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2021-02-04T15:06:51.336576,2.00575021,.0017515,54.6122,166.6784,105.2890,254.8796,0,U,40105,999,4682,0,.37E-6,0
GPS BIIF-8  (PRN 03),2014-068A,2021-02-04T00:11:45.454272,2.00565380,.0030926,55.4708,107.6802,46.5899,313.7192,0,U,40294,999,4591,0,-.28E-6,0
GPS BIIF-9  (PRN 26),2015-013A,2021-02-06T03:18:59.877792,2.00554172,.0056399,54.0481,285.2312,13.0244,347.1802,0,U,40534,999,4257,0,-.1E-7,0
GPS BIIF-10 (PRN 08),2015-033A,2021-02-06T07:18:23.015520,2.00578154,.0061648,55.4782,346.6038,355.8437,4.1027,0,U,40730,999,4074,0,-.9E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2021-02-06T08:18:38.209248,2.00563784,.0065739,55.4662,107.4190,212.8143,146.8226,0,U,41019,999,3858,0,-.45E-6,0
GPS BIIF-12 (PRN 32),2016-007A,2021-02-05T22:32:52.425024,2.00567685,.0046906,54.8429,167.1729,222.1814,137.4278,0,U,41328,999,3663,0,.18E-6,0
GPS BIII-1  (PRN 04),2018-109A,2021-02-06T16:56:36.942432,2.00572740,.0011475,55.0239,169.4570,198.1057,251.9339,0,U,43873,999,1587,0,.9E-7,0
GPS BIII-2  (PRN 18),2019-056A,2021-02-06T10:33:34.246080,2.00561810,.0011935,55.3986,48.8453,185.4220,328.8203,0,U,44506,999,1082,0,-.45E-6,0
GPS BIII-3  (PRN 23),2020-041A,2021-02-06T07:23:26.904192,2.00567266,.0009193,55.1786,106.1090,146.0705,214.0360,0,U,45854,999,478,0,-.46E-6,0

