OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025BV,2021-02-09T08:14:48.031008,14.11469842,.0065803,98.8244,74.5876,146.8089,213.7237,0,U,29779,999,72467,.39794E-4,.3E-6,0
FENGYUN 1C DEB,1999-025BW,2021-02-09T11:23:43.155456,14.08803288,.0045974,99.3627,229.2961,35.6171,324.8050,0,U,29780,999,72120,.28357E-3,.446E-5,0
FENGYUN 1C DEB,1999-025BX,2021-02-09T08:29:54.372192,14.00865336,.007627,98.8762,71.2594,67.4131,305.0266,0,U,29781,999,71871,.20644E-3,.274E-5,0
FENGYUN 1C DEB,1999-025BY,2021-02-09T12:13:47.725824,14.02747516,.0061083,99.2132,52.8253,72.5783,78.7968,0,U,29782,999,71836,.24242E-3,.335E-5,0
FENGYUN 1C DEB,1999-025BZ,2021-02-09T14:30:49.273344,14.84268124,.0081146,98.9350,172.5936,75.9130,296.2084,0,U,29783,999,75106,.31084E-3,.269E-4,0
FENGYUN 1C DEB,1999-025CA,2021-02-09T13:16:03.248832,14.25663382,.0063601,99.1053,245.0244,4.2931,19.9657,0,U,29784,999,73150,.7788E-4,.141E-5,0
FENGYUN 1C DEB,1999-025CB,2021-02-09T10:15:40.685472,14.65304268,.0071768,99.0226,109.7772,90.1094,270.8331,0,U,29785,999,74436,.26136E-3,.1404E-4,0
FENGYUN 1C DEB,1999-025CC,2021-02-09T12:55:31.553760,14.07782456,.0078178,98.9147,76.6350,240.2389,288.2390,0,U,29786,999,72287,.55413E-4,.52E-6,0
FENGYUN 1C DEB,1999-025CE,2021-02-09T10:08:23.905824,14.12932531,.0051979,98.9051,99.5974,196.9062,174.2256,0,U,29788,999,72319,.32212E-3,.563E-5,0
FENGYUN 1C DEB,1999-025CF,2021-02-09T14:41:04.159680,13.48977819,.0309738,99.5777,277.5533,28.2749,0.9965,0,U,29789,999,69155,.77757E-3,.612E-5,0
FENGYUN 1C DEB,1999-025CG,2021-02-09T11:24:11.171520,14.27914422,.0080838,99.0375,302.4468,253.3063,105.9232,0,U,29790,999,73277,.52718E-4,.87E-6,0
FENGYUN 1C DEB,1999-025CH,2021-02-09T15:17:48.833664,14.34346998,.0059849,99.0119,285.2055,253.2786,135.7462,0,U,29791,999,73391,.17535E-3,.454E-5,0
FENGYUN 1C DEB,1999-025CJ,2021-02-09T03:05:32.826624,14.06470164,.0051972,98.9140,102.4711,342.9091,17.0325,0,U,29792,999,72036,.16294E-3,.229E-5,0
FENGYUN 1C DEB,1999-025CK,2021-02-09T19:44:57.297696,13.94676482,.0151112,98.4353,346.8975,243.5337,140.7123,0,U,29793,999,71488,.17931E-3,.224E-5,0
FENGYUN 1C DEB,1999-025CL,2021-02-09T09:04:43.192416,14.04105924,.0167674,98.2671,338.4706,45.1230,76.3439,0,U,29794,999,72015,.13648E-3,.207E-5,0
FENGYUN 1C DEB,1999-025CM,2021-02-09T12:17:57.943680,13.91878647,.0114345,98.7237,243.7307,91.3009,299.5817,0,U,29795,999,71474,.57849E-4,.38E-6,0
FENGYUN 1C DEB,1999-025CN,2021-02-09T14:37:18.252192,14.07367579,.0057335,99.0503,81.5282,190.3945,321.6523,0,U,29796,999,72172,.92404E-4,.113E-5,0
FENGYUN 1C DEB,1999-025CQ,2021-02-09T12:51:28.087200,13.91795840,.0121672,99.4161,59.3916,21.5277,129.1665,0,U,29798,999,71290,.40862E-3,.506E-5,0
FENGYUN 1C DEB,1999-025CS,2021-02-09T10:40:20.428896,13.87403009,.0151154,98.2867,223.2927,102.5682,289.0340,0,U,29800,999,70996,.52843E-3,.646E-5,0
FENGYUN 1C DEB,1999-025CT,2021-02-09T11:23:57.797664,14.33750333,.0107799,98.9743,228.7658,53.5995,336.6949,0,U,29801,999,73604,.30336E-4,.41E-6,0
FENGYUN 1C DEB,1999-025CU,2021-02-09T03:28:09.372288,14.29527447,.0066373,98.6916,114.1433,204.0302,214.9399,0,U,29802,999,73049,.3543E-3,.883E-5,0
FENGYUN 1C DEB,1999-025CV,2021-02-09T17:14:20.911776,14.41084677,.0059619,98.9760,209.4267,82.3726,278.4227,0,U,29803,999,73076,.81766E-3,.2641E-4,0
FENGYUN 1C DEB,1999-025CW,2021-02-09T18:13:37.941888,14.03738497,.0098477,98.9340,72.4561,197.5938,227.8661,0,U,29804,999,72116,-.64014E-4,-.149E-5,0
FENGYUN 1C DEB,1999-025CX,2021-02-09T07:45:16.193376,13.71988175,.0190241,99.6928,71.6639,128.2962,233.5465,0,U,29805,999,70462,.67078E-4,.25E-6,0
FENGYUN 1C DEB,1999-025CY,2021-02-09T08:39:03.369888,14.08204067,.0028442,98.8744,77.5297,201.9512,169.1782,0,U,29806,999,72240,.80935E-4,.95E-6,0
FENGYUN 1C DEB,1999-025CZ,2021-02-09T08:32:10.882464,14.06843052,.0080658,98.8582,71.1180,267.4660,91.7273,0,U,29807,999,72232,.12858E-3,.176E-5,0
FENGYUN 1C DEB,1999-025DA,2021-02-09T09:16:19.500384,14.26138054,.0030357,99.0378,181.8900,309.5499,110.2096,0,U,29808,999,72703,.49822E-3,.115E-4,0
FENGYUN 1C DEB,1999-025DB,2021-02-09T10:46:10.570944,14.41883978,.0123859,98.8395,283.3412,226.5881,307.8472,0,U,29809,999,73970,.32225E-4,.63E-6,0
FENGYUN 1C DEB,1999-025DC,2021-02-09T12:55:26.219424,14.25622573,.0070575,99.1126,327.8355,54.5787,118.2855,0,U,29810,999,73174,.67815E-4,.118E-5,0
FENGYUN 1C DEB,1999-025DD,2021-02-09T12:57:37.903392,14.25916249,.0071599,99.0177,158.3085,327.3262,32.3497,0,U,29811,999,72618,.708E-3,.1686E-4,0
FENGYUN 1C DEB,1999-025DE,2021-02-09T08:10:14.148192,13.95180393,.0149183,98.4372,352.4906,238.0387,275.9965,0,U,29812,999,71481,.62522E-4,.53E-6,0
FENGYUN 1C DEB,1999-025DF,2021-02-09T08:15:23.181984,14.08836127,.00129,98.9215,76.9065,165.3911,259.7120,0,U,29813,999,72370,.1569E-5,-.41E-6,0
FENGYUN 1C DEB,1999-025DG,2021-02-09T10:21:09.323424,14.47035759,.0053312,99.1407,31.0362,132.8885,33.4594,0,U,29814,999,73702,.3583E-3,.1275E-4,0
FENGYUN 1C DEB,1999-025DH,2021-02-09T02:38:16.954080,14.48880280,.0223923,98.1926,81.7382,212.3471,146.3829,0,U,29815,999,74171,.44632E-4,.175E-5,0
FENGYUN 1C DEB,1999-025DJ,2021-02-09T19:55:01.936128,14.25267809,.0296083,98.9156,172.4241,291.3634,224.7785,0,U,29816,999,72905,.1413E-3,.466E-5,0
FENGYUN 1C DEB,1999-025DK,2021-02-09T13:40:03.937728,14.11462123,.0012384,98.6404,86.0938,23.9229,110.5175,0,U,29817,999,72448,.10022E-3,.14E-5,0
FENGYUN 1C DEB,1999-025DL,2021-02-09T13:23:02.254272,14.02938120,.0116091,98.8882,310.0487,284.9801,198.7468,0,U,29818,999,72020,.15857E-3,.217E-5,0
FENGYUN 1C DEB,1999-025DM,2021-02-09T08:55:41.084256,14.00086313,.0197467,98.7842,80.5129,322.3909,105.3510,0,U,29819,999,71875,.35717E-4,.19E-6,0
FENGYUN 1C DEB,1999-025DN,2021-02-09T12:51:19.872288,13.99560140,.0069272,98.9709,74.2123,96.9182,60.8539,0,U,29820,999,71820,.22391E-3,.291E-5,0
FENGYUN 1C DEB,1999-025DP,2021-02-09T14:21:36.313344,14.00029545,.0407131,99.1151,89.3503,12.6215,137.4468,0,U,29821,999,71717,.85368E-4,.204E-5,0
FENGYUN 1C DEB,1999-025DT,2021-02-09T06:03:44.612352,15.09628857,.0110539,98.7679,235.1473,121.9911,239.2115,0,U,29825,999,76216,.13153E-3,.235E-4,0
FENGYUN 1C DEB,1999-025DV,2021-02-09T12:58:54.486624,14.18568384,.0026939,98.6027,64.9477,30.3955,121.5417,0,U,29827,999,72788,.76898E-4,.117E-5,0
FENGYUN 1C DEB,1999-025DW,2021-02-09T09:57:13.315680,14.02852985,.0063759,98.9350,107.7991,60.5474,310.5823,0,U,29828,999,71923,.23256E-3,.323E-5,0
