OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2021-02-09T06:22:19.482528,2.00562441,.0047263,55.4664,174.9118,57.5578,302.8502,0,U,24876,999,17276,0,-.17E-6,0
GPS BIIR-4  (PRN 20),2000-025A,2021-02-09T11:15:21.219840,2.00563362,.0058079,53.6815,99.3106,165.5220,323.0844,0,U,26360,999,15208,0,-.36E-6,0
GPS BIIR-5  (PRN 28),2000-040A,2021-02-09T12:52:23.450592,2.00564361,.0181935,55.8159,292.8041,282.3961,215.8096,0,U,26407,999,15076,0,-.7E-7,0
GPS BIIR-8  (PRN 16),2003-005A,2021-02-09T10:10:59.940768,2.00566863,.0120107,55.8686,292.6029,36.4008,146.3286,0,U,27663,999,13212,0,-.6E-7,0
GPS BIIR-9  (PRN 21),2003-010A,2021-02-09T14:03:48.210624,2.00557902,.0244354,54.7828,43.3230,291.3452,222.2612,0,U,27704,999,13092,0,-.6E-6,0
GPS BIIR-10 (PRN 22),2003-058A,2021-02-09T10:58:26.985792,2.00570669,.0071522,53.4918,101.9813,299.5153,59.8347,0,U,28129,999,12560,0,-.37E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2021-02-09T02:17:57.248736,2.00570458,.0087879,56.2269,353.4626,102.1205,357.8464,0,U,28190,999,12375,0,-.1E-5,0
GPS BIIR-13 (PRN 02),2004-045A,2021-02-09T06:32:50.515296,2.00571062,.0205823,55.1204,43.2920,271.2052,232.5007,0,U,28474,999,11924,0,-.57E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2021-02-09T04:27:42.808896,2.00579032,.0137719,56.3162,350.8650,269.4140,276.4474,0,U,28874,999,11264,0,-.1E-5,0
GPS BIIRM-2 (PRN 31),2006-042A,2021-02-09T06:32:19.846752,2.00555924,.0099314,54.8000,228.9165,12.7154,155.8750,0,U,29486,999,10523,0,.63E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2021-02-08T23:32:30.962688,2.00577192,.0081036,55.8629,291.5434,66.9381,293.9769,0,U,29601,999,10421,0,-.4E-7,0
GPS BIIRM-4 (PRN 15),2007-047A,2021-02-08T19:12:04.750272,2.00575784,.0128635,53.2151,160.9993,54.7925,306.3654,0,U,32260,999,9765,0,-.34E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2021-02-09T07:10:40.785024,2.00562524,.0013071,56.4194,351.5622,129.1902,3.1102,0,U,32384,999,9632,0,-.1E-5,0
GPS BIIRM-6 (PRN 07),2008-012A,2021-02-09T04:55:40.572480,2.00571204,.0145719,54.5508,227.9673,225.7820,133.0240,0,U,32711,999,9458,0,.62E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2021-02-09T04:27:43.971840,2.00547028,.0058065,54.7257,105.4454,49.2279,318.0337,0,U,35752,999,8417,0,-.37E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2021-02-09T04:08:14.736192,2.00563866,.0095996,55.1365,287.4023,53.0902,52.0790,0,U,36585,999,7840,0,.5E-7,0
GPS BIIF-2  (PRN 01),2011-036A,2021-02-09T03:43:45.967296,2.00562148,.0101934,56.3361,47.9715,45.9777,134.5895,0,U,37753,999,7008,0,-.48E-6,0
